degree_of_automation,onet_code,occupation,year
32,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",2013
32,43-9061.00,"Office Clerks, General Bright Outlook",2013
32,19-4099.02,Precision Agriculture Technicians Bright Outlook Green Occupation,2013
32,29-1024.00,Prosthodontists,2013
32,27-3031.00,Public Relations Specialists Bright Outlook Green Occupation,2013
32,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products Bright Outlook Green Occupation",2013
32,13-1199.02,Security Management Specialists Bright Outlook,2013
32,15-2041.00,Statisticians,2013
32,11-3131.00,Training and Development Managers,2013
31,27-3021.00,Broadcast News Analysts,2013
31,17-2051.00,Civil Engineers Bright Outlook Green Occupation,2013
31,33-3021.03,Criminal Investigators and Special Agents,2013
31,45-1011.06,First-Line Supervisors of Aquacultural Workers,2013
31,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers Bright Outlook,2013
31,13-2099.04,"Fraud Examiners, Investigators and Analysts Bright Outlook",2013
31,17-2111.01,Industrial Safety and Health Engineers Green Occupation,2013
31,51-4041.00,Machinists Green Occupation,2013
31,13-1111.00,Management Analysts Bright Outlook,2013
31,43-5041.00,"Meter Readers, Utilities",2013
31,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",2013
31,19-4051.01,Nuclear Equipment Operation Technicians Green Occupation,2013
31,19-4051.02,Nuclear Monitoring Technicians,2013
31,29-9012.00,Occupational Health and Safety Technicians Green Occupation,2013
31,53-5021.03,"Pilots, Ship",2013
31,19-4099.01,Quality Control Analysts Bright Outlook,2013
31,11-3051.01,Quality Control Systems Managers Bright Outlook,2013
31,41-9022.00,Real Estate Sales Agents Bright Outlook,2013
31,39-9041.00,Residential Advisors,2013
31,49-2098.00,Security and Fire Alarm Systems Installers Bright Outlook,2013
31,21-1093.00,Social and Human Service Assistants Bright Outlook,2013
31,41-4011.07,Solar Sales Representatives and Assessors Bright Outlook Green Occupation,2013
31,51-4111.00,Tool and Die Makers,2013
31,29-1069.12,Urologists Bright Outlook,2013
31,11-9121.02,Water Resource Specialists Bright Outlook Green Occupation,2013
31,17-2081.01,Water/Wastewater Engineers Bright Outlook Green Occupation,2013
30,17-2021.00,Agricultural Engineers,2013
30,19-4011.01,Agricultural Technicians Green Occupation,2013
30,53-2022.00,Airfield Operations Specialists,2013
30,19-1011.00,Animal Scientists,2013
30,53-7061.00,Cleaners of Vehicles and Equipment Bright Outlook,2013
30,21-1094.00,Community Health Workers,2013
30,47-2061.00,Construction Laborers Bright Outlook Green Occupation,2013
30,53-7021.00,Crane and Tower Operators,2013
30,29-1069.02,Dermatologists Bright Outlook,2013
30,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",2013
30,13-1074.00,Farm Labor Contractors,2013
30,33-1012.00,First-Line Supervisors of Police and Detectives,2013
30,19-1029.03,Geneticists Bright Outlook,2013
30,25-1071.00,"Health Specialties Teachers, Postsecondary",2013
30,11-3121.00,Human Resources Managers,2013
30,17-3026.00,Industrial Engineering Technicians Green Occupation,2013
30,11-3051.00,Industrial Production Managers Green Occupation,2013
30,17-1012.00,Landscape Architects Green Occupation,2013
30,53-4011.00,Locomotive Engineers Green Occupation,2013
30,39-5092.00,Manicurists and Pedicurists,2013
30,31-9093.00,Medical Equipment Preparers,2013
30,29-1151.00,Nurse Anesthetists Bright Outlook,2013
30,19-1031.03,Park Naturalists,2013
30,31-2022.00,Physical Therapist Aides Bright Outlook,2013
30,29-1081.00,Podiatrists,2013
30,33-3021.01,Police Detectives,2013
30,53-4031.00,Railroad Conductors and Yardmasters Green Occupation,2013
30,19-4099.03,Remote Sensing Technicians Bright Outlook Green Occupation,2013
30,47-2211.00,Sheet Metal Workers Green Occupation,2013
30,15-1132.00,"Software Developers, Applications Bright Outlook",2013
30,15-1133.00,"Software Developers, Systems Software Bright Outlook Green Occupation",2013
30,27-2012.05,Technical Directors/Managers,2013
30,13-1151.00,Training and Development Specialists Green Occupation,2013
30,19-3099.01,Transportation Planners Bright Outlook Green Occupation,2013
29,29-1069.01,Allergists and Immunologists Bright Outlook,2013
29,11-9013.03,Aquacultural Managers Bright Outlook,2013
29,21-1021.00,"Child, Family, and School Social Workers Bright Outlook",2013
29,11-3021.00,Computer and Information Systems Managers Bright Outlook,2013
29,15-1143.00,Computer Network Architects,2013
29,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop Bright Outlook",2013
29,29-1021.00,"Dentists, General",2013
29,11-9032.00,"Education Administrators, Elementary and Secondary School",2013
29,11-9033.00,"Education Administrators, Postsecondary",2013
29,17-3023.01,Electronics Engineering Technicians Green Occupation,2013
29,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2013
29,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,2013
29,19-4011.02,Food Science Technicians,2013
29,53-6051.08,Freight and Cargo Inspectors,2013
29,51-9198.00,Helpers--Production Workers,2013
29,25-9031.01,Instructional Designers and Technologists Bright Outlook,2013
29,49-9043.00,"Maintenance Workers, Machinery",2013
29,17-2131.00,Materials Engineers,2013
29,17-3027.00,Mechanical Engineering Technicians,2013
29,17-2141.00,Mechanical Engineers Green Occupation,2013
29,27-1026.00,Merchandise Displayers and Window Trimmers,2013
29,27-1014.00,Multimedia Artists and Animators,2013
29,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,2013
29,51-9195.03,"Stone Cutters and Carvers, Manufacturing",2013
29,51-2092.00,Team Assemblers Bright Outlook Green Occupation,2013
28,27-1011.00,Art Directors,2013
28,15-2041.01,Biostatisticians Bright Outlook,2013
28,19-4031.00,Chemical Technicians Green Occupation,2013
28,29-1141.04,Clinical Nurse Specialists Bright Outlook,2013
28,35-2011.00,"Cooks, Fast Food Bright Outlook",2013
28,29-2051.00,Dietetic Technicians,2013
28,47-2081.00,Drywall and Ceiling Tile Installers,2013
28,17-2081.00,Environmental Engineers Green Occupation,2013
28,19-2041.00,"Environmental Scientists and Specialists, Including Health Green Occupation",2013
28,17-2111.02,Fire-Prevention and Protection Engineers,2013
28,33-1011.00,First-Line Supervisors of Correctional Officers,2013
28,27-1025.00,Interior Designers,2013
28,15-2021.00,Mathematicians,2013
28,29-2099.01,Neurodiagnostic Technologists Bright Outlook,2013
28,33-3041.00,Parking Enforcement Workers,2013
28,17-2199.07,Photonics Engineers Bright Outlook Green Occupation,2013
28,29-2053.00,Psychiatric Technicians,2013
28,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators Green Occupation,2013
28,47-2181.00,Roofers Green Occupation,2013
28,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining Green Occupation",2013
28,43-5071.00,"Shipping, Receiving, and Traffic Clerks Bright Outlook Green Occupation",2013
28,39-5094.00,Skincare Specialists,2013
28,19-1031.01,Soil and Water Conservationists Green Occupation,2013
28,27-4014.00,Sound Engineering Technicians,2013
28,43-5081.01,"Stock Clerks, Sales Floor Bright Outlook",2013
28,19-3022.00,Survey Researchers,2013
28,47-4099.03,Weatherization Installers and Technicians Bright Outlook Green Occupation,2013
27,25-1011.00,"Business Teachers, Postsecondary",2013
27,27-4031.00,"Camera Operators, Television, Video, and Motion Picture",2013
27,29-1011.00,Chiropractors,2013
27,29-2021.00,Dental Hygienists Bright Outlook,2013
27,19-4093.00,Forest and Conservation Technicians Green Occupation,2013
27,19-3092.00,Geographers Bright Outlook,2013
27,19-3093.00,Historians,2013
27,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand Bright Outlook Green Occupation",2013
27,53-3033.00,Light Truck or Delivery Services Drivers Bright Outlook,2013
27,11-2021.00,Marketing Managers Green Occupation,2013
27,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2013
27,17-2171.00,Petroleum Engineers,2013
27,11-2031.00,Public Relations and Fundraising Managers,2013
27,51-9199.01,Recycling and Reclamation Workers Bright Outlook Green Occupation,2013
27,39-1021.01,Spa Managers Bright Outlook,2013
27,27-3042.00,Technical Writers,2013
26,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2013
26,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians Bright Outlook",2013
26,11-9041.00,Architectural and Engineering Managers Green Occupation,2013
26,29-1181.00,Audiologists Bright Outlook,2013
26,19-1020.01,Biologists,2013
26,11-9199.11,Brownfield Redevelopment Specialists and Site Managers Bright Outlook Green Occupation,2013
26,11-9021.00,Construction Managers Bright Outlook Green Occupation,2013
26,31-9091.00,Dental Assistants Bright Outlook,2013
26,29-2032.00,Diagnostic Medical Sonographers Bright Outlook,2013
26,29-1031.00,Dietitians and Nutritionists,2013
26,47-4021.00,Elevator Installers and Repairers,2013
26,51-2031.00,Engine and Other Machine Assemblers Green Occupation,2013
26,19-1041.00,Epidemiologists,2013
26,43-4071.00,File Clerks,2013
26,39-1021.00,First-Line Supervisors of Personal Service Workers,2013
26,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters Bright Outlook",2013
26,17-2112.00,Industrial Engineers Green Occupation,2013
26,49-9071.00,"Maintenance and Repair Workers, General Bright Outlook Green Occupation",2013
26,17-3029.07,Mechanical Engineering Technologists Bright Outlook Green Occupation,2013
26,49-9062.00,Medical Equipment Repairers Bright Outlook,2013
26,39-4031.00,"Morticians, Undertakers, and Funeral Directors",2013
26,11-9121.00,Natural Sciences Managers Green Occupation,2013
26,27-2012.01,Producers,2013
26,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",2013
26,29-1141.00,Registered Nurses Bright Outlook,2013
26,11-9199.01,Regulatory Affairs Managers Bright Outlook Green Occupation,2013
26,51-4121.07,Solderers and Brazers Bright Outlook Green Occupation,2013
25,17-3011.01,Architectural Drafters Green Occupation,2013
25,53-6031.00,Automotive and Watercraft Service Attendants,2013
25,53-3021.00,"Bus Drivers, Transit and Intercity Green Occupation",2013
25,39-9011.00,Childcare Workers Bright Outlook,2013
25,53-2012.00,Commercial Pilots,2013
25,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",2013
25,19-4091.00,"Environmental Science and Protection Technicians, Including Health Green Occupation",2013
25,19-1032.00,Foresters,2013
25,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2013
25,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2013
25,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop Bright Outlook",2013
25,19-2043.00,Hydrologists Green Occupation,2013
25,19-3032.00,Industrial-Organizational Psychologists Bright Outlook,2013
25,49-9094.00,Locksmiths and Safe Repairers,2013
25,19-1042.00,"Medical Scientists, Except Epidemiologists Bright Outlook",2013
25,49-9044.00,Millwrights Green Occupation,2013
25,45-2092.01,Nursery Workers,2013
25,29-1071.00,Physician Assistants Bright Outlook,2013
25,51-9071.07,Precious Metal Workers,2013
25,51-6021.00,"Pressers, Textile, Garment, and Related Materials",2013
25,27-3012.00,Public Address System and Other Announcers,2013
25,41-9021.00,Real Estate Brokers,2013
25,39-9032.00,Recreation Workers Bright Outlook,2013
25,41-9031.00,Sales Engineers,2013
25,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation Green Occupation",2013
24,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2013
24,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",2013
24,53-6051.01,Aviation Inspectors,2013
24,51-3011.00,Bakers,2013
24,35-2012.00,"Cooks, Institution and Cafeteria Bright Outlook",2013
24,17-3029.02,Electrical Engineering Technologists Bright Outlook Green Occupation,2013
24,29-1128.00,Exercise Physiologists,2013
24,25-9021.00,Farm and Home Management Advisors Green Occupation,2013
24,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers Green Occupation,2013
24,19-2042.00,"Geoscientists, Except Hydrologists and Geographers Green Occupation",2013
24,17-2121.01,Marine Engineers,2013
24,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders Green Occupation",2013
24,11-9013.01,Nursery and Greenhouse Managers Bright Outlook,2013
24,47-2151.00,Pipelayers,2013
24,29-1066.00,Psychiatrists,2013
24,53-4021.00,"Railroad Brake, Signal, and Switch Operators",2013
24,49-9021.02,Refrigeration Mechanics and Installers Bright Outlook Green Occupation,2013
24,13-1041.07,Regulatory Affairs Specialists Bright Outlook Green Occupation,2013
24,53-3041.00,Taxi Drivers and Chauffeurs,2013
24,49-9081.00,Wind Turbine Service Technicians Green Occupation,2013
23,49-3011.00,Aircraft Mechanics and Service Technicians,2013
23,33-9011.00,Animal Control Workers,2013
23,49-2091.00,Avionics Technicians,2013
23,33-3011.00,Bailiffs,2013
23,39-6012.00,Concierges,2013
23,35-2015.00,"Cooks, Short Order",2013
23,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2013
23,13-1041.01,Environmental Compliance Inspectors,2013
23,41-1011.00,First-Line Supervisors of Retail Sales Workers Bright Outlook,2013
23,47-2121.00,Glaziers Bright Outlook,2013
23,27-1024.00,Graphic Designers Bright Outlook,2013
23,47-3012.00,Helpers--Carpenters Bright Outlook Green Occupation,2013
23,17-2121.02,Marine Architects,2013
23,47-2073.00,Operating Engineers and Other Construction Equipment Operators Bright Outlook Green Occupation,2013
23,31-2021.00,Physical Therapist Assistants Bright Outlook,2013
23,29-1069.09,Preventive Medicine Physicians Bright Outlook,2013
23,17-2111.03,Product Safety Engineers,2013
23,31-1013.00,Psychiatric Aides,2013
23,43-3021.01,Statement Clerks Bright Outlook,2013
23,51-2093.00,Timing Device Assemblers and Adjusters,2013
23,29-2056.00,Veterinary Technologists and Technicians Bright Outlook,2013
22,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2013
22,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2013
22,25-2032.00,"Career/Technical Education Teachers, Secondary School",2013
22,47-2051.00,Cement Masons and Concrete Finishers Bright Outlook Green Occupation,2013
22,11-9199.02,Compliance Managers Bright Outlook Green Occupation,2013
22,33-3012.00,Correctional Officers and Jailers Bright Outlook,2013
22,49-9093.00,"Fabric Menders, Except Garment",2013
22,53-2031.00,Flight Attendants,2013
22,47-2043.00,Floor Sanders and Finishers,2013
22,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",2013
22,51-7021.00,Furniture Finishers,2013
22,49-9021.01,Heating and Air Conditioning Mechanics and Installers Bright Outlook Green Occupation,2013
22,29-1069.03,Hospitalists Bright Outlook,2013
22,29-1063.00,"Internists, General",2013
22,21-1014.00,Mental Health Counselors Bright Outlook,2013
22,53-5022.00,Motorboat Operators,2013
22,15-2031.00,Operations Research Analysts,2013
22,29-1199.05,Orthoptists Bright Outlook,2013
22,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Bright Outlook",2013
22,19-3031.01,School Psychologists,2013
22,19-4061.00,Social Science Research Assistants,2013
22,29-2055.00,Surgical Technologists,2013
21,19-4021.00,Biological Technicians,2013
21,25-1021.00,"Computer Science Teachers, Postsecondary",2013
21,51-9081.00,Dental Laboratory Technicians,2013
21,19-3011.00,Economists,2013
21,47-2111.00,Electricians Bright Outlook Green Occupation,2013
21,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,2013
21,27-1023.00,Floral Designers,2013
21,21-1022.00,Healthcare Social Workers Bright Outlook,2013
21,51-4192.00,"Layout Workers, Metal and Plastic",2013
21,29-2061.00,Licensed Practical and Licensed Vocational Nurses Bright Outlook,2013
21,17-2199.05,Mechatronics Engineers Bright Outlook Green Occupation,2013
21,51-9082.00,Medical Appliance Technicians,2013
21,33-1021.01,Municipal Fire Fighting and Prevention Supervisors,2013
21,51-9122.00,"Painters, Transportation Equipment",2013
21,51-9195.05,"Potters, Manufacturing",2013
21,41-2031.00,Retail Salespersons Bright Outlook,2013
21,47-5051.00,"Rock Splitters, Quarry",2013
21,47-5012.00,"Rotary Drill Operators, Oil and Gas",2013
21,33-3051.03,Sheriffs and Deputy Sheriffs Bright Outlook,2013
21,27-2042.01,Singers,2013
21,25-1113.00,"Social Work Teachers, Postsecondary",2013
21,47-2053.00,Terrazzo Workers and Finishers,2013
21,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2013
20,19-2011.00,Astronomers,2013
20,29-9091.00,Athletic Trainers Bright Outlook,2013
20,11-1011.00,Chief Executives Bright Outlook,2013
20,19-3031.02,Clinical Psychologists,2013
20,13-1041.06,Coroners,2013
20,19-3031.03,Counseling Psychologists,2013
20,29-2041.00,Emergency Medical Technicians and Paramedics Bright Outlook,2013
20,13-1199.01,Energy Auditors Bright Outlook Green Occupation,2013
20,35-3041.00,"Food Servers, Nonrestaurant",2013
20,25-1125.00,"History Teachers, Postsecondary",2013
20,31-1011.00,Home Health Aides Bright Outlook,2013
20,17-2112.01,Human Factors Engineers and Ergonomists Bright Outlook,2013
20,25-1022.00,"Mathematical Science Teachers, Postsecondary",2013
20,33-2011.01,Municipal Firefighters Bright Outlook,2013
20,19-3039.01,Neuropsychologists and Clinical Neuropsychologists Bright Outlook,2013
20,29-9011.00,Occupational Health and Safety Specialists Green Occupation,2013
20,53-5011.00,Sailors and Marine Oilers,2013
20,39-5093.00,Shampooers,2013
20,53-5021.01,Ship and Boat Captains,2013
20,53-6041.00,Traffic Technicians,2013
20,17-2199.10,Wind Energy Engineers Bright Outlook Green Occupation,2013
19,35-1011.00,Chefs and Head Cooks,2013
19,15-1111.00,Computer and Information Research Scientists,2013
19,35-2014.00,"Cooks, Restaurant Bright Outlook",2013
19,43-5021.00,Couriers and Messengers,2013
19,51-2022.00,Electrical and Electronic Equipment Assemblers Green Occupation,2013
19,25-2021.00,"Elementary School Teachers, Except Special Education Bright Outlook",2013
19,33-2021.01,Fire Inspectors,2013
19,33-3031.00,Fish and Game Wardens Green Occupation,2013
19,33-2022.00,Forest Fire Inspectors and Prevention Specialists,2013
19,39-4021.00,Funeral Attendants,2013
19,45-2041.00,"Graders and Sorters, Agricultural Products",2013
19,25-1191.00,Graduate Teaching Assistants,2013
19,49-9031.00,Home Appliance Repairers,2013
19,51-9071.01,Jewelers,2013
19,23-1012.00,Judicial Law Clerks,2013
19,29-1023.00,Orthodontists,2013
19,29-2091.00,Orthotists and Prosthetists,2013
19,43-4051.03,Patient Representatives Bright Outlook,2013
19,51-7032.00,"Patternmakers, Wood",2013
19,39-9021.00,Personal Care Aides Bright Outlook,2013
19,49-2021.01,Radio Mechanics Bright Outlook,2013
19,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers Bright Outlook",2013
19,29-1125.00,Recreational Therapists,2013
19,51-6051.00,"Sewers, Hand",2013
19,11-9151.00,Social and Community Service Managers,2013
19,19-1013.00,Soil and Plant Scientists Green Occupation,2013
19,51-6093.00,Upholsterers,2013
18,29-1141.02,Advanced Practice Psychiatric Nurses Bright Outlook,2013
18,45-2021.00,Animal Breeders,2013
18,27-2021.00,Athletes and Sports Competitors,2013
18,49-3022.00,Automotive Glass Installers and Repairers,2013
18,19-1029.01,Bioinformatics Scientists Bright Outlook,2013
18,11-1011.03,Chief Sustainability Officers Bright Outlook Green Occupation,2013
18,27-2022.00,Coaches and Scouts Bright Outlook,2013
18,25-1122.00,"Communications Teachers, Postsecondary",2013
18,47-4011.00,Construction and Building Inspectors Green Occupation,2013
18,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",2013
18,47-5021.00,"Earth Drillers, Except Oil and Gas",2013
18,21-1012.00,"Educational, Guidance, School, and Vocational Counselors Bright Outlook",2013
18,53-7032.00,Excavating and Loading Machine and Dragline Operators,2013
18,39-1011.00,Gaming Supervisors,2013
18,21-1091.00,Health Educators Bright Outlook,2013
18,29-2092.00,Hearing Aid Specialists,2013
18,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall Green Occupation",2013
18,37-3011.00,Landscaping and Groundskeeping Workers Bright Outlook,2013
18,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education Bright Outlook",2013
18,29-1069.04,Neurologists Bright Outlook,2013
18,29-1064.00,Obstetricians and Gynecologists,2013
18,29-1069.06,Ophthalmologists Bright Outlook,2013
18,29-1022.00,Oral and Maxillofacial Surgeons,2013
18,37-2021.00,Pest Control Workers,2013
18,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",2013
18,25-1067.00,"Sociology Teachers, Postsecondary",2013
18,25-2054.00,"Special Education Teachers, Secondary School",2013
18,33-3052.00,Transit and Railroad Police,2013
17,47-5011.00,"Derrick Operators, Oil and Gas",2013
17,25-1063.00,"Economics Teachers, Postsecondary",2013
17,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",2013
17,19-3011.01,Environmental Economists Bright Outlook Green Occupation,2013
17,51-2091.00,Fiberglass Laminators and Fabricators,2013
17,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers Green Occupation",2013
17,25-9031.00,Instructional Coordinators,2013
17,25-1112.00,"Law Teachers, Postsecondary",2013
17,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2013
17,43-5081.02,Marking Clerks Bright Outlook,2013
17,29-1171.00,Nurse Practitioners Bright Outlook,2013
17,29-1069.08,Physical Medicine and Rehabilitation Physicians Bright Outlook,2013
17,47-2161.00,Plasterers and Stucco Masons,2013
17,47-2152.02,Plumbers Bright Outlook Green Occupation,2013
17,19-3041.00,Sociologists,2013
17,25-2053.00,"Special Education Teachers, Middle School",2013
17,29-1127.00,Speech-Language Pathologists,2013
16,25-1052.00,"Chemistry Teachers, Postsecondary",2013
16,19-4061.01,City and Regional Planning Aides,2013
16,19-2041.01,Climate Change Analysts Bright Outlook Green Occupation,2013
16,25-1081.00,"Education Teachers, Postsecondary",2013
16,49-9051.00,Electrical Power-Line Installers and Repairers Green Occupation,2013
16,17-2072.00,"Electronics Engineers, Except Computer Green Occupation",2013
16,27-4032.00,Film and Video Editors,2013
16,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",2013
16,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2013
16,53-4012.00,Locomotive Firers,2013
16,21-1023.00,Mental Health and Substance Abuse Social Workers Bright Outlook,2013
16,47-2142.00,Paperhangers,2013
16,19-3094.00,Political Scientists,2013
16,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2013
16,47-2031.02,Rough Carpenters Bright Outlook Green Occupation,2013
16,47-2221.00,Structural Iron and Steel Workers Green Occupation,2013
16,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,2013
15,23-1022.00,"Arbitrators, Mediators, and Conciliators Green Occupation",2013
15,47-2021.00,Brickmasons and Blockmasons Bright Outlook,2013
15,27-2031.00,Dancers,2013
15,39-4011.00,Embalmers,2013
15,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2013
15,19-4092.00,Forensic Science Technicians,2013
15,45-4023.00,Log Graders and Scalers,2013
15,49-9011.00,Mechanical Door Repairers,2013
15,51-7031.00,"Model Makers, Wood",2013
15,31-2011.00,Occupational Therapy Assistants Bright Outlook,2013
15,29-1123.00,Physical Therapists Bright Outlook,2013
15,25-1054.00,"Physics Teachers, Postsecondary",2013
15,25-1065.00,"Political Science Teachers, Postsecondary",2013
15,49-9096.00,Riggers,2013
14,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2013
14,35-3011.00,Bartenders Bright Outlook,2013
14,47-2011.00,Boilermakers Green Occupation,2013
14,49-9061.00,Camera and Photographic Equipment Repairers,2013
14,25-2023.00,"Career/Technical Education Teachers, Middle School",2013
14,47-2031.01,Construction Carpenters Bright Outlook Green Occupation,2013
14,35-2013.00,"Cooks, Private Household",2013
14,27-1022.00,Fashion Designers,2013
14,33-1021.02,Forest Fire Fighting and Prevention Supervisors,2013
14,25-1192.00,"Home Economics Teachers, Postsecondary",2013
14,27-3091.00,Interpreters and Translators Bright Outlook,2013
14,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners Bright Outlook",2013
14,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",2013
14,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",2013
14,47-2072.00,Pile-Driver Operators Bright Outlook,2013
14,27-3043.05,"Poets, Lyricists and Creative Writers",2013
14,43-9081.00,Proofreaders and Copy Markers,2013
14,25-1066.00,"Psychology Teachers, Postsecondary",2013
14,25-3021.00,Self-Enrichment Education Teachers,2013
14,47-2022.00,Stonemasons Bright Outlook,2013
14,47-2082.00,Tapers Bright Outlook,2013
13,29-1071.01,Anesthesiologist Assistants Bright Outlook,2013
13,25-1042.00,"Biological Science Teachers, Postsecondary",2013
13,39-3092.00,Costume Attendants,2013
13,19-2041.02,Environmental Restoration Planners Bright Outlook Green Occupation,2013
13,33-2011.02,Forest Firefighters Bright Outlook,2013
13,53-3032.00,Heavy and Tractor-Trailer Truck Drivers Bright Outlook Green Occupation,2013
13,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2013
13,27-2041.04,Music Composers and Arrangers,2013
13,47-2152.01,Pipe Fitters and Steamfitters Bright Outlook Green Occupation,2013
13,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education Bright Outlook",2013
13,27-1027.00,Set and Exhibit Designers,2013
13,51-6042.00,Shoe Machine Operators and Tenders,2013
13,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard Bright Outlook",2013
13,39-7011.00,Tour Guides and Escorts,2013
13,37-3013.00,Tree Trimmers and Pruners,2013
12,19-3091.01,Anthropologists,2013
12,49-3091.00,Bicycle Repairers Bright Outlook,2013
12,11-9121.01,Clinical Research Coordinators Bright Outlook,2013
12,27-3043.04,Copy Writers,2013
12,51-2023.00,Electromechanical Equipment Assemblers,2013
12,45-4021.00,Fallers,2013
12,47-2132.00,"Insulation Workers, Mechanical Bright Outlook",2013
12,37-2012.00,Maids and Housekeeping Cleaners Bright Outlook,2013
12,31-2012.00,Occupational Therapy Aides Bright Outlook,2013
12,47-2141.00,"Painters, Construction and Maintenance Bright Outlook",2013
12,47-2231.00,Solar Photovoltaic Installers Green Occupation,2013
12,13-1199.05,Sustainability Specialists Bright Outlook Green Occupation,2013
12,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",2013
12,29-1131.00,Veterinarians Bright Outlook,2013
12,15-1199.11,Video Game Designers Bright Outlook,2013
12,35-3031.00,Waiters and Waitresses Bright Outlook,2013
11,29-1199.01,Acupuncturists Bright Outlook,2013
11,27-1012.00,Craft Artists,2013
11,25-4012.00,Curators,2013
11,25-1032.00,"Engineering Teachers, Postsecondary",2013
11,49-3041.00,Farm Equipment Mechanics and Service Technicians,2013
11,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists Bright Outlook",2013
11,49-3052.00,Motorcycle Mechanics,2013
11,29-1161.00,Nurse Midwives Bright Outlook,2013
11,19-2012.00,Physicists,2013
11,31-9099.01,Speech-Language Pathology Assistants Bright Outlook,2013
11,29-1069.11,Sports Medicine Physicians Bright Outlook,2013
11,29-1067.00,Surgeons,2013
11,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",2013
11,51-4121.06,"Welders, Cutters, and Welder Fitters Bright Outlook Green Occupation",2013
10,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers Green Occupation",2013
10,49-3023.01,Automotive Master Mechanics Bright Outlook,2013
10,49-3023.02,Automotive Specialty Technicians Bright Outlook Green Occupation,2013
10,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists Green Occupation,2013
10,21-2021.00,"Directors, Religious Activities and Education",2013
10,25-1053.00,"Environmental Science Teachers, Postsecondary",2013
10,25-1064.00,"Geography Teachers, Postsecondary",2013
10,47-3013.00,Helpers--Electricians Bright Outlook,2013
